,pred
0,134.92276000976562
1,133.798828125
2,133.10971069335938
3,134.0420684814453
4,132.39718627929688
5,133.5305633544922
6,133.06451416015625
7,132.5245819091797
8,133.6189422607422
9,132.55316162109375
